source,target,rel,cone
25993,5671,-1,1
26034,10370,-1,1
26038,3727,-1,1
26042,142036,-1,1
25956,394646,-1,1
25899,400539,-1,1
25956,11228,-1,1
25956,1606,-1,1
25933,270319,-1,1
25933,270518,-1,1
25933,270531,-1,1
25933,271122,-1,1
25933,271284,-1,1
25933,271414,-1,1
25933,271682,-1,1
25933,271700,-1,1
25933,272554,-1,1
25946,1403,0,1
25946,1828,0,1
25946,5645,0,1
25946,6939,0,1
25946,7713,0,1
25956,11012,-1,1
25946,24482,0,1
25946,49544,0,1
25948,1403,0,1
25948,1828,0,1
25948,5645,0,1
25948,8298,0,1
25948,22652,0,1
25948,24482,0,1
25948,35008,0,1
25948,35280,0,1
25948,47787,0,1
25948,49544,0,1
25948,53356,0,1
25948,58057,0,1
25948,397131,0,1
25946,35280,0,1
25899,400338,-1,1
25899,399911,-1,1
25899,399575,-1,1
25818,59890,0,1
25818,63399,-1,1
25818,202312,-1,1
25818,328209,-1,1
25818,329214,-1,1
25819,1798,0,1
25819,4181,0,1
25819,34927,0,1
25819,53828,0,1
25819,58511,0,1
25819,137409,0,1
25820,23764,0,1
25829,27922,-1,1
25832,264296,-1,1
25818,57777,0,1
25837,1031,0,1
25837,13760,0,1
25837,13786,0,1
25837,16735,0,1
25837,37468,0,1
25837,52320,0,1
25837,53828,0,1
25837,263152,0,1
25843,15178,-1,1
25851,63060,-1,1
25875,1031,0,1
25875,1828,0,1
25875,6939,0,1
25875,7575,0,1
25875,8447,0,1
25837,11686,0,1
25875,9304,0,1
135895,58989,0,1
25818,18922,-1,1
25751,8220,0,1
25751,13786,0,1
25751,14061,0,1
25751,16552,0,1
25751,16735,0,1
25751,18106,0,1
25751,19653,0,1
25751,24482,0,1
25751,36351,0,1
25751,37721,0,1
25751,40934,0,1
25751,49544,0,1
25751,52320,0,1
25751,57695,0,1
135895,59865,0,1
25751,58511,0,1
25751,199524,0,1
25764,13451,-1,1
25769,23036,-1,1
25773,48851,-1,1
25773,132337,0,1
25785,3549,0,1
25787,40496,-1,1
25795,9559,-1,1
25795,23646,-1,1
25795,25692,-1,1
25795,201612,-1,1
25816,18948,-1,1
135895,63931,0,1
135895,63399,0,1
25751,137409,0,1
135607,141676,-1,1
25875,11686,0,1
25875,13786,0,1
25899,22171,-1,1
25899,22466,-1,1
25899,23408,-1,1
135895,58409,0,1
25899,25905,-1,1
25899,25961,-1,1
25899,26793,-1,1
25899,30530,-1,1
25899,30543,-1,1
25899,32086,-1,1
25899,32582,-1,1
135895,56284,0,1
25899,33236,-1,1
135895,56035,0,1
25899,22154,-1,1
