id,country,x,y,cone,asrank,angle,r,cone_map
137409,AU,838.8171296032468,368.8346846654839,343,143,130.286427647208,171.94758101370388,5.971003643806696
1820,US,1119.2432083163628,469.6239065176499,343,144,10.1752180837185,171.94758101370388,5.971003643806696
29049,AZ,1060.9891130907668,368.67069104046413,343,142,49.7981567430171,171.94758101370388,5.971003643806696
54004,US,996.0876665871024,665.7604828536297,342,145,-74.4620632565249,172.04828010565052,5.973914854014154
28598,BR,1082.7897067992699,609.3960897631919,342,146,-39.4827067969381,172.04828010565052,5.973914854014154
8218,FR,1121.377194991153,483.7141379201965,341,147,5.42847863183988,172.14927320996162,5.976834564117489
10796,US,966.6223987861912,671.4466447167365,340,148,-84.4622664406975,172.2505620485287,5.979762823896578
60068,GB,1109.1100640590557,566.7805115271975,337,149,-22.7684106042334,172.5562204173208,5.988599405697076
23106,BR,1074.1491834596397,620.1395745380221,335,151,-44.059665930332,172.76150359345755,5.9945341412168895
3255,UA,1106.7068413818615,427.271030613707,335,150,24.8964128849263,172.76150359345755,5.9945341412168895
8447,AT,1117.020782754101,455.0334410495533,333,152,15.0683042816959,172.96801234805406,6.000504308203394
38158,ID,900.0067445771284,334.4143493298405,333,153,106.8,172.96801234805406,6.000504308203394
23947,ID,903.3479774711636,333.2264015755342,331,154,105.628041672533,173.1757614029054,6.0065103322636055
39392,CZ,1118.533632452019,459.7208519259198,330,155,13.4414202679564,173.28010571628207,6.009526925803031
6327,CA,875.4940376049233,657.0273744842431,325,156,-115.383289103251,173.80660162902706,6.024747919813387
21320,NL,1124.3407143416027,499.5737734780428,320,157,0.140075898291154,174.34123535809974,6.040204178050078
7049,AR,1029.6202478331668,655.341271088924,318,158,-62.8625683907094,174.557424272179,6.046454198395249
29535,PL,1114.3186906497308,440.7750974576298,317,159,19.8205348120531,174.6660275439822,6.049593918399918
22927,AR,1037.125707389145,651.5104031247135,316,160,-60.0990446883193,174.774972873899,6.052743527302813
31027,DK,1121.1092952945012,464.3924136328885,316,161,11.7553926355825,174.774972873899,6.052743527302813
13237,DE,1123.2060474600082,475.0494570871767,314,162,8.19713853681823,174.993898374667,6.059072662354461
24785,NL,1124.7141401492654,486.7715635254785,312,163,4.32987392654791,175.21421831477497,6.065442110639941
